date,ret,model,level,var,es
2023-01-04,0.7095546441984838,GARCH-t,0.01,2.783687796425057,4.02879206247878
2023-01-05,-0.976252439712064,GARCH-t,0.01,2.7572560192975724,3.9908361582246856
2023-01-06,1.589647009927115,GARCH-t,0.01,2.7616504531347768,3.997146543983895
2023-01-09,0.4549233258291232,GARCH-t,0.01,2.8169580100757248,4.0765679285413325
2023-01-10,-0.0587546745238274,GARCH-t,0.01,2.7782769161919996,4.021022064605925
2023-01-11,0.1601623341199926,GARCH-t,0.01,2.735233229469628,3.959211538431404
2023-01-12,1.108736566761589,GARCH-t,0.01,2.666423628706631,3.837874376194718
2023-01-13,1.2008862043122857,GARCH-t,0.01,2.6742639671366617,3.849068065263083
2023-01-17,-0.5855345730477272,GARCH-t,0.01,2.6910831693641506,3.873080921569305
2023-01-18,-0.1469161128852995,GARCH-t,0.01,2.6673188577314875,3.8391524990000847
2023-01-19,0.9251314471138228,GARCH-t,0.01,2.6261054688294836,3.7803119444832487
2023-01-20,0.2234663176594187,GARCH-t,0.01,2.6194566636147516,3.7708194131449617
2023-01-23,0.0363280747150776,GARCH-t,0.01,2.5788034549700636,3.712778630688808
2023-01-24,0.3522432457450443,GARCH-t,0.01,2.5386088290520052,3.655392569007762
2023-01-25,0.3767611384967313,GARCH-t,0.01,2.503812427755582,3.6057135787082686
2023-01-26,-0.6252753139314502,GARCH-t,0.01,2.471117465116002,3.5590348225352577
2023-01-27,-0.0259221820840704,GARCH-t,0.01,2.46006827870901,3.5432598457020443
2023-01-30,-0.2959862564306045,GARCH-t,0.01,2.4248091186933967,3.4929201725426835
2023-01-31,0.3426426124651446,GARCH-t,0.01,2.3975675146384168,3.4540272027766084
2023-02-01,-0.0881420299387641,GARCH-t,0.01,2.3681156153315803,3.4119785837972554
2023-02-02,-0.5983212723418652,GARCH-t,0.01,2.337316991021244,3.368007239021777
2023-02-03,-2.826184255379748,GARCH-t,0.01,2.3308266022186612,3.358740879560731
2023-02-06,0.1769825234386303,GARCH-t,0.01,2.723159188768257,3.918876009493721
2023-02-07,0.2942831061813177,GARCH-t,0.01,2.6781038704478903,3.8545503137785104
2023-02-08,0.3040771209810025,GARCH-t,0.01,2.6365367092314154,3.7952046768185466
2023-02-09,-0.5983602271623308,GARCH-t,0.01,2.5967487563959986,3.73839922426301
2023-02-10,-0.1823493315013401,GARCH-t,0.01,2.567318626260361,3.6803772024946504
2023-02-13,-0.5868606069231898,GARCH-t,0.01,2.529083909102369,3.626000347047979
2023-02-14,0.1133314874589582,GARCH-t,0.01,2.511745582823023,3.601342033037615
2023-02-15,-1.07370746218953,GARCH-t,0.01,2.4727191432959894,3.5458392016189664
2023-02-16,0.4243545311346954,GARCH-t,0.01,2.5045137806364193,3.591057069754248
2023-02-17,-0.0868985268310338,GARCH-t,0.01,2.472388471647549,3.5453689252376015
2023-02-21,-0.402898370723679,GARCH-t,0.01,2.4362728174435526,3.494005770126562
2023-02-22,-0.0545702605629464,GARCH-t,0.01,2.4125429394490467,3.4602574847621788
2023-02-23,-0.767127049665148,GARCH-t,0.01,2.3785887754071813,3.4119683693415577
2023-02-24,-0.5073326778902653,GARCH-t,0.01,2.383975488031602,3.4196292732394613
2023-02-27,0.4523120437649741,GARCH-t,0.01,2.368863084497692,3.3981366339969754
2023-02-28,0.6527917163400628,GARCH-t,0.01,2.344216322018439,3.3630843689305228
2023-03-01,0.4800056571569328,GARCH-t,0.01,2.3316502317419063,3.345213059155344
2023-03-02,-0.2288054619760342,GARCH-t,0.01,2.31004597760018,3.31448780494087
2023-03-03,0.7714887423290702,GARCH-t,0.01,2.2849314647060703,3.278770312076637
2023-03-06,0.0108276460496213,GARCH-t,0.01,2.284271793670886,3.2778321375800306
2023-03-07,-1.85706355718125,GARCH-t,0.01,2.2554525384759936,3.236845814408399
2023-03-08,-0.0661817291164826,GARCH-t,0.01,2.4357559934466937,3.493270750598304
2023-03-09,0.9115987157307688,GARCH-t,0.01,2.4009338883511293,3.4437472621073075
2023-03-10,1.7717772147514534,GARCH-t,0.01,2.405564000167256,3.4503321394031716
2023-03-13,2.6341694156230084,GARCH-t,0.01,2.545261175227805,3.6862241590973546
2023-03-14,-0.2881167105143215,GARCH-t,0.01,2.816342990818848,4.075449744852437
2023-03-15,1.0645072763326822,GARCH-t,0.01,2.774277541467906,4.01505119274752
2023-03-16,-0.3952561643726087,GARCH-t,0.01,2.7727295482114083,4.012828547968889
2023-03-17,2.6127822516268666,GARCH-t,0.01,2.736475277423956,3.96077382141852
2023-03-20,0.4760658443617601,GARCH-t,0.01,2.9769631095347617,4.306071852996966
2023-03-21,-2.103618451687445,GARCH-t,0.01,2.930002850307704,4.238645218845908
2023-03-22,0.4530510589810312,GARCH-t,0.01,3.0774542125944375,4.4503593197394204
2023-03-23,2.3855366038062704,GARCH-t,0.01,3.025865142304357,4.376286530834578
2023-03-24,-0.5885513691905921,GARCH-t,0.01,3.1883631634404135,4.609604975020229
2023-03-27,-1.5097478869044785,GARCH-t,0.01,3.1443116195186107,4.54635474206382
2023-03-28,1.0191690210182351,GARCH-t,0.01,3.184702854050374,4.604349417530043
2023-03-29,-0.3199215031879452,GARCH-t,0.01,3.1590986040645603,4.567586238941986
2023-03-30,0.7196500323830661,GARCH-t,0.01,3.1048098368754378,4.489637162339277
2023-03-31,-0.5722573380642285,GARCH-t,0.01,3.0634326944601797,4.430226897366924
2023-04-03,0.7538817015696077,GARCH-t,0.01,3.023663487724118,4.373125343900089
2023-04-04,1.9121386856435452,GARCH-t,0.01,2.987577425824973,4.321312135590025
2023-04-05,-0.0643034706267317,GARCH-t,0.01,3.0746629948973343,4.446351624347694
2023-04-06,-0.4463407474970126,GARCH-t,0.01,3.0179461279065354,4.36491622548645
2023-04-10,-1.1397298492928634,GARCH-t,0.01,2.973900220915564,4.301674086166644
2023-04-11,0.7862066660321816,GARCH-t,0.01,3.0006709155594025,4.314369640040649
2023-04-12,0.3038065675472636,GARCH-t,0.01,2.960206622140215,4.256634800289704
2023-04-13,1.5004488526765063,GARCH-t,0.01,2.898822465679168,4.1690513004417875
2023-04-14,-1.9340332101503832,GARCH-t,0.01,2.942911742989239,4.231958301779043
2023-04-17,-0.4003608688523414,GARCH-t,0.01,3.0833214256289123,4.432296176030385
2023-04-18,0.6597421632108531,GARCH-t,0.01,3.024575333127439,4.348476690998714
2023-04-19,-0.6096093088757149,GARCH-t,0.01,2.9745179128693375,4.277054286386138
2023-04-20,0.6195695166983959,GARCH-t,0.01,2.933985343583737,4.21922202997786
2023-04-21,-1.4095679073773075,GARCH-t,0.01,2.8865651421378877,4.151562434317271
2023-04-24,0.4837975290905525,GARCH-t,0.01,2.9411429859006692,4.229434622296764
2023-04-25,0.2460408684692785,GARCH-t,0.01,2.886647560400669,4.151680029480615
2023-04-26,-0.4171199318677286,GARCH-t,0.01,2.8277970798386143,4.067711602568576
2023-04-27,0.2112926265503246,GARCH-t,0.01,2.7836016338406795,4.004653118734965
2023-04-28,0.0100477975901019,GARCH-t,0.01,2.729471545506526,3.927419792471199
2023-05-01,-0.3372320383288464,GARCH-t,0.01,2.6774095201222217,3.8531371981470097
2023-05-02,1.5459208663897124,GARCH-t,0.01,2.637580381071004,3.796308602705633
2023-05-03,0.7074123181844181,GARCH-t,0.01,2.7118000598035095,3.902205948140459
2023-05-04,0.9517819252434988,GARCH-t,0.01,2.682643423696518,3.8606049816815817
2023-05-05,-1.50541414369174,GARCH-t,0.01,2.6758760216809483,3.850949187946311
2023-05-08,0.440192824598679,GARCH-t,0.01,2.765415192456245,3.9787045307269406
2023-05-09,0.4873807724603167,GARCH-t,0.01,2.7156666431262124,3.9127666489856456
2023-05-10,-0.2803233566718522,GARCH-t,0.01,2.672530632998781,3.8511683206272913
2023-05-11,-0.7811791440417504,GARCH-t,0.01,2.630026095897095,3.790471737299931
2023-05-12,-0.0099251054533082,GARCH-t,0.01,2.6263231344465736,3.785183899258032
2023-05-15,0.1735896282152275,GARCH-t,0.01,2.5793391948439304,3.7180907181626335
2023-05-16,-1.4776614414791789,GARCH-t,0.01,2.535148322139952,3.6549860434553447
2023-05-17,-0.3880014587498261,GARCH-t,0.01,2.6389019267197944,3.803146445504391
2023-05-18,-1.2293130260797065,GARCH-t,0.01,2.603744576523201,3.752941663114417
2023-05-19,1.1282876071055623,GARCH-t,0.01,2.6590335586167213,3.8318944652751816
2023-05-22,-0.1972886611210169,GARCH-t,0.01,2.673591033413566,3.8526825750228255
2023-05-23,-0.1216064382496189,GARCH-t,0.01,2.6279073471734433,3.787446158921152
2023-05-24,-0.4879037635297988,GARCH-t,0.01,2.5827892591549575,3.723017418468487
2023-05-25,-1.0087426800028507,GARCH-t,0.01,2.557450779190951,3.686834006875398
2023-05-26,0.0514509176076067,GARCH-t,0.01,2.5857729394697064,3.727278121282709
2023-05-30,0.7124411621889729,GARCH-t,0.01,2.5407370149922386,3.662966710568324
2023-05-31,0.3008760462139833,GARCH-t,0.01,2.5227459539613095,3.6372754312491544
2023-06-01,0.7153928630061794,GARCH-t,0.01,2.484409320341002,3.582530624325162
2023-06-02,-1.3026835665023309,GARCH-t,0.01,2.47056062855354,3.5627546584549377
2023-06-05,0.2864146572821607,GARCH-t,0.01,2.550655536276744,3.677130383311987
2023-06-06,0.3823121771459306,GARCH-t,0.01,2.510236847234024,3.619412396133465
2023-06-07,-1.1667932951336448,GARCH-t,0.01,2.4436497075841355,3.47796877996562
2023-06-08,1.0700777840001092,GARCH-t,0.01,2.5064304313263843,3.5665838338177034
2023-06-09,-0.0713242905666815,GARCH-t,0.01,2.528194568763147,3.5973039354036773
2023-06-12,-0.3522608540493114,GARCH-t,0.01,2.483650001356183,3.5344292343124333
2023-06-13,-0.5487371483662417,GARCH-t,0.01,2.45292085286887,3.4910550107336853
2023-06-14,0.5487371483662364,GARCH-t,0.01,2.4383729847775197,3.470520680488612
2023-06-15,0.1277759463212647,GARCH-t,0.01,2.414566946337394,3.436918433610454
2023-06-16,0.0306407016705376,GARCH-t,0.01,2.37701611783652,3.383915401924217
2023-06-20,-1.1762134766634988,GARCH-t,0.01,2.34207301753012,3.334593181171821
2023-06-21,-0.1137278422884502,GARCH-t,0.01,2.417736951548034,3.441392899110494
2023-06-22,-1.071258172670636,GARCH-t,0.01,2.3820561032782765,3.391029346375839
2023-06-23,0.3340482534468814,GARCH-t,0.01,2.436306001321561,3.4676031312897035
2023-06-26,0.2394076127153564,GARCH-t,0.01,2.401745706888899,3.418821241407901
2023-06-27,-0.5055096516834761,GARCH-t,0.01,2.366891749880791,3.369624846509491
2023-06-28,-0.0888561410255391,GARCH-t,0.01,2.3558264849129675,3.3540062140286517
2023-06-29,-0.1622451046078489,GARCH-t,0.01,2.3241152116212667,3.309245720314064
2023-06-30,0.6213645369454395,GARCH-t,0.01,2.296828597969656,3.27073063807153
2023-07-03,0.0312259603543151,GARCH-t,0.01,2.289668131976292,3.260623633217413
2023-07-05,-0.1093367263780203,GARCH-t,0.01,2.261205675218056,3.220448847263227
