asset,label,method,distinct,pinball,rate,p_uc
SPX,S&P 500,sampled,15.8,0.0436,5.0,0.0
SPX,S&P 500,elicited,9.5142,0.0533,7.085,0.0
DAX,DAX 40,sampled,15.8,0.0405,4.8,0.0
DAX,DAX 40,elicited,9.4,0.0505,6.8,0.0
N225,Nikkei 225,sampled,18.2,0.0865,6.4,0.0
N225,Nikkei 225,elicited,8.6,0.093,6.2,0.0
GOLD,Gold futures,sampled,14.4,0.0494,5.2,0.0
GOLD,Gold futures,elicited,8.6,0.0516,6.6,0.0
BTC,Bitcoin,sampled,35.2,0.1408,6.2,0.0
BTC,Bitcoin,elicited,13.8144,0.2996,13.1959,0.0
