date,level,var,q_price,clamped
2023-08-19,0.01,6.243219483789739,24472.953,True
2023-08-19,0.05,6.243219483789739,24472.953,True
2023-08-19,0.1,6.243219483789739,24472.953,False
2023-08-19,0.5,1.6373776170059862,25626.5,False
2023-08-19,0.9,-2.7030899710615075,26763.303,False
2023-08-20,0.01,4.617501566084175,24918.61,True
2023-08-20,0.05,4.617501566084175,24918.61,True
2023-08-20,0.1,4.617501566084175,24918.61,False
2023-08-20,0.5,0.46684510456309347,25974.66,False
2023-08-20,0.9,-3.4035170395262186,26999.682,False
2023-08-21,0.01,3.321402133527639,25334.01,True
2023-08-21,0.05,3.321402133527639,25334.01,True
2023-08-21,0.1,3.321402133527639,25334.01,False
2023-08-21,0.5,-0.5148455168247165,26324.768,False
2023-08-21,0.9,-4.075146363606868,27278.893,False
2023-08-22,0.01,3.0923633477934533,25328.65,True
2023-08-22,0.05,3.0923633477934533,25328.65,True
2023-08-22,0.1,3.0923633477934533,25328.65,False
2023-08-22,0.5,-0.62265933286736,26287.312,False
2023-08-22,0.9,-4.091759118165037,27215.248,False
2023-08-23,0.01,2.8660193281009017,25296.174,True
2023-08-23,0.05,2.8660193281009017,25296.174,True
2023-08-23,0.1,2.8660193281009017,25296.174,False
2023-08-23,0.5,-0.7613009969256043,26230.592,False
2023-08-23,0.9,-4.101205752430015,27121.463,False
2023-08-24,0.01,1.8767942195538603,25940.2,True
2023-08-24,0.05,1.8767942195538603,25940.2,True
2023-08-24,0.1,1.8767942195538603,25940.2,False
2023-08-24,0.5,-1.4314772655777641,26812.725,False
2023-08-24,0.9,-4.398923686493976,27620.3,False
2023-08-25,0.01,2.677455393210553,25471.182,True
2023-08-25,0.05,2.677455393210553,25471.182,True
2023-08-25,0.1,2.677455393210553,25471.182,False
2023-08-25,0.5,-0.685128564960182,26342.234,False
2023-08-25,0.9,-3.734705373313015,27157.936,False
2023-08-26,0.01,2.1311833040317234,25498.418,True
2023-08-26,0.05,2.1311833040317234,25498.418,True
2023-08-26,0.1,2.1311833040317234,25498.418,False
2023-08-26,0.5,-0.9904964535988655,26306.951,False
2023-08-26,0.9,-3.8629960368908938,27073.576,False
2023-08-27,0.01,2.0271394700546166,25486.543,True
2023-08-27,0.05,2.0271394700546166,25486.543,True
2023-08-27,0.1,2.0271394700546166,25486.543,False
2023-08-27,0.5,-1.017869028132723,26274.547,False
2023-08-27,0.9,-3.8375361246965527,27025.945,False
2023-08-28,0.01,1.8073209297375419,25622.404,True
2023-08-28,0.05,1.8073209297375419,25622.404,True
2023-08-28,0.1,1.8073209297375419,25622.404,False
2023-08-28,0.5,-1.0734944450975155,26371.273,False
2023-08-28,0.9,-3.76659817697284,27091.129,False
2023-08-29,0.01,1.5778666899732539,25697.463,True
2023-08-29,0.05,1.5778666899732539,25697.463,True
2023-08-29,0.1,1.5778666899732539,25697.463,False
2023-08-29,0.5,-1.3482637926978118,26460.514,False
2023-08-29,0.9,-4.087792745237784,27195.428,False
2023-08-30,0.01,2.917339214785029,26930.176,True
2023-08-30,0.05,2.917339214785029,26930.176,True
2023-08-30,0.1,2.917339214785029,26930.176,False
2023-08-30,0.5,-0.8632491383929356,27967.785,False
2023-08-30,0.9,-4.164822457656026,28906.574,False
2023-08-31,0.01,1.6224335889101278,26857.959,True
2023-08-31,0.05,1.6224335889101278,26857.959,True
2023-08-31,0.1,1.6224335889101278,26857.959,False
2023-08-31,0.5,-1.5066943412688096,27711.666,False
2023-08-31,0.9,-4.398484136578737,28524.729,False
2023-09-01,0.01,1.3992231421150736,25571.16,True
2023-09-01,0.05,1.3992231421150736,25571.16,True
2023-09-01,0.1,1.3992231421150736,25571.16,False
2023-09-01,0.5,-1.945881361871136,26441.01,False
2023-09-01,0.9,-5.279577880858039,27337.33,False
2023-09-02,0.01,2.0172163447750147,25285.482,True
2023-09-02,0.05,2.0172163447750147,25285.482,True
2023-09-02,0.1,2.0172163447750147,25285.482,False
2023-09-02,0.5,-1.5183944728237226,26195.47,False
2023-09-02,0.9,-5.050366606741292,27137.22,False
2023-09-03,0.01,2.751310913339136,25166.77,True
2023-09-03,0.05,2.751310913339136,25166.77,True
2023-09-03,0.1,2.751310913339136,25166.77,False
2023-09-03,0.5,-0.9450608682719279,26114.434,False
2023-09-03,0.9,-4.5515372827285825,27073.434,False
2023-09-04,0.01,3.2602103164611513,25136.557,True
2023-09-04,0.05,3.2602103164611513,25136.557,True
2023-09-04,0.1,3.2602103164611513,25136.557,False
2023-09-04,0.5,-0.26009250840402276,26037.2,False
2023-09-04,0.9,-3.69768681194892,26947.814,False
2023-09-05,0.01,3.0804467555501076,25029.4,True
