fact,value
detect_power_500,2.5
detect_power_50,8.4
detect_expected_500,2.0
detect_power_5541,1.45
detect_expected_5541,1.3
clamp_share_05,1.0
n_dates,500
best_model,Open-3B
best_pinball,0.026416698388774137
n_reject_cc,1
n_models,12
n_days,500
dm_p_Open-3B_vs_NN-t,0.8536
dm_diff_Open-3B_vs_NN-t,-0.00046
dm_p_Open-3B_vs_LLM-dated+news,0.6121
dm_diff_Open-3B_vs_LLM-dated+news,-0.00117
dm_p_Open-3B_vs_GARCH-t,0.4895
dm_diff_Open-3B_vs_GARCH-t,-0.00132
dm_p_Open-3B_vs_LLM-series+state,0.1005
dm_diff_Open-3B_vs_LLM-series+state,-0.00264
dm_p_Open-3B_vs_Open-14B,0.199
dm_diff_Open-3B_vs_Open-14B,-0.00302
dm_p_Open-3B_vs_LLM-dated,0.044
dm_diff_Open-3B_vs_LLM-dated,-0.00341
dm_p_Open-3B_vs_LLM-series,0.0643
dm_diff_Open-3B_vs_LLM-series,-0.00344
dm_p_Open-3B_vs_Open-7B,0.1087
dm_diff_Open-3B_vs_Open-7B,-0.00369
dm_p_Open-3B_vs_Chronos-T5,0.1133
dm_diff_Open-3B_vs_Chronos-T5,-0.00388
dm_p_Open-3B_vs_HS,0.0008
dm_diff_Open-3B_vs_HS,-0.01149
dm_p_Open-3B_vs_Open-1.5B,0.0041
dm_diff_Open-3B_vs_Open-1.5B,-0.02683
median_pairwise_rho,0.47
min_pairwise_rho,-0.06
pc1_share,0.53
disagreement_models,9
median_range,2.5863462828656125
median_ratio,2.826264577305214
max_range,4.2463858224379525
max_range_date,2024-08-07 00:00:00
corr_LLM-series_HS,-0.022601377932936102
corr_LLM-series_GARCH,0.49910370014986466
mean_LLM-series,2.6191999999999998
corr_LLM-series+state_HS,0.2911526463558161
corr_LLM-series+state_GARCH,0.6513326205955582
mean_LLM-series+state,2.08092
corr_LLM-dated_HS,0.054446370349717235
corr_LLM-dated_GARCH,0.5658643398046967
mean_LLM-dated,2.59
corr_LLM-dated+news_HS,0.008409467021872325
corr_LLM-dated+news_GARCH,0.6096015797526202
mean_LLM-dated+news,2.492
news_dates_covered,447
news_headlines,2128
news_mean_per_covered,4.76
dm_p_news_all,0.009
dm_diff_news_all,-0.00224
dm_p_news_covered,0.009
dm_diff_news_covered,-0.00185
n_covered_scored,447
distinct_pct_LLM-series,10.8
sd_LLM-series,0.469
corr_GARCH_LLM-series,0.499
distinct_pct_Open-1.5B,9.5
sd_Open-1.5B,0.454
corr_GARCH_Open-1.5B,0.168
distinct_pct_Open-3B,7.6
sd_Open-3B,0.428
corr_GARCH_Open-3B,0.506
distinct_pct_Open-7B,6.8
sd_Open-7B,0.436
corr_GARCH_Open-7B,0.335
distinct_pct_Open-14B,4.6
sd_Open-14B,0.327
corr_GARCH_Open-14B,0.381
news_assets_tested,5
news_assets_significant,2
news_min_p,0.001
news_p_SPX,0.009
news_diff_SPX,-0.00185
news_p_DAX,0.214
news_diff_DAX,-0.00069
news_p_N225,0.001
news_diff_N225,-0.00183
news_p_GOLD,0.667
news_diff_GOLD,0.00042
news_p_BTC,0.857
news_diff_BTC,-0.00032
pinball_flat_band_01,0.635
pinball_flat_band_05,0.46
fz_var_truth,-3.451
fz_es_truth,-5.013
fz_var_argmin,-3.451
fz_es_argmin,-5.013
floor_mc_reps,3000
floor_sd_500_01,0.388
floor_sd_2000_01,0.201
floor_sd_500_05,0.15
floor_sd_2000_05,0.076
t5_rerun_sd_01,0.365
t5_rerun_same_01,70.6
t5_rerun_step_01,0.635
t5_rerun_n_01,500
t5_rerun_sd_05,0.234
t5_rerun_same_05,87.2
t5_rerun_step_05,0.619
t5_rerun_n_05,500
samp_assets,5
samp_pinball_wins,5
samp_rejected_both,10
samp_distinct_SPX,15.8
elic_distinct_SPX,9.5
samp_rate_min,4.8
samp_rate_max,13.2
