,HS,GARCH-t,NN-t,Chronos-T5,LLM-series,LLM-series+state,LLM-dated,LLM-dated+news,Open-1.5B,Open-3B,Open-7B,Open-14B
HS,,0.0037,0.0,0.0887,0.0,0.0319,0.0001,0.0,0.193,0.0008,0.1218,0.0
GARCH-t,0.0037,,0.6857,0.3075,0.2457,0.6021,0.23,0.9497,0.0132,0.4895,0.4285,0.5252
NN-t,0.0,0.6857,,0.3331,0.0005,0.497,0.0036,0.2702,0.0172,0.8536,0.4186,0.0704
Chronos-T5,0.0887,0.3075,0.3331,,0.8909,0.5467,0.881,0.4334,0.0091,0.1133,0.9388,0.7859
LLM-series,0.0,0.2457,0.0005,0.8909,,0.7662,0.9195,0.0013,0.03,0.0643,0.9436,0.7659
LLM-series+state,0.0319,0.6021,0.497,0.5467,0.7662,,0.7648,0.6268,0.0042,0.1005,0.3972,0.8844
LLM-dated,0.0001,0.23,0.0036,0.881,0.9195,0.7648,,0.0088,0.0284,0.044,0.9357,0.7954
LLM-dated+news,0.0,0.9497,0.2702,0.4334,0.0013,0.6268,0.0088,,0.019,0.6121,0.5184,0.0828
Open-1.5B,0.193,0.0132,0.0172,0.0091,0.03,0.0042,0.0284,0.019,,0.0041,0.0032,0.0203
Open-3B,0.0008,0.4895,0.8536,0.1133,0.0643,0.1005,0.044,0.6121,0.0041,,0.1087,0.199
Open-7B,0.1218,0.4285,0.4186,0.9388,0.9436,0.3972,0.9357,0.5184,0.0032,0.1087,,0.8449
Open-14B,0.0,0.5252,0.0704,0.7859,0.7659,0.8844,0.7954,0.0828,0.0203,0.199,0.8449,
