model,n,expected,observed,rate_pct,pinball,mean_var,p_uc,p_ind,p_cc,neg_var_days
NN-t,500,5.0,3,0.6,0.02687348205479806,2.4479108487165293,0.3314777201386021,0.8489167388721746,0.6128081420472613,0
LLM-dated+news,500,5.0,3,0.6,0.027589346471173868,2.49228,0.3314777201386021,0.8489167388721746,0.6128081420472613,0
GARCH-t,500,5.0,7,1.4,0.027737114652645622,2.063907508161137,0.39656966989139175,0.6553724466331007,0.6319478719768308,0
LLM-series+state,500,5.0,6,1.2,0.02905878644576037,2.08092,0.663016306966983,0.05404983337064406,0.1422001301262883,0
LLM-dated,500,5.0,3,0.6,0.029830886471173868,2.5904339999999997,0.3314777201386021,0.8489167388721746,0.6128081420472613,0
LLM-series,500,5.0,3,0.6,0.029858546471173867,2.6191999999999998,0.3314777201386021,0.8489167388721746,0.6128081420472613,0
Chronos-T5,500,5.0,6,1.2,0.030291935010904988,1.9734346656375192,0.663016306966983,0.05404983337064406,0.1422001301262883,0
HS,500,5.0,2,0.4,0.037911478559546956,3.687621906757324,0.12504358446110553,0.8990413385425627,0.3058870243164631,0
Open-1.5B,494,4.94,35,7.08502024291498,0.05327066654534576,1.349919028340081,0.0,0.7321309367113131,0.0,0
