date,ret,model,level,var,es
2022-12-20,-2.489127638949298,GARCH-t,0.01,2.8049800885861127,3.55971205733526
2022-12-21,-0.6809809720177208,GARCH-t,0.01,3.4506350637149765,4.375221774917054
2022-12-22,0.4542860547956492,GARCH-t,0.01,3.2863554184703734,4.167724501205
2022-12-23,-1.0337711266382608,GARCH-t,0.01,3.0974379124497244,3.929107797368082
2022-12-26,0.6482375028426324,GARCH-t,0.01,3.063478050557338,3.8862139942568303
2022-12-27,0.1589291891407026,GARCH-t,0.01,2.928090029868735,3.7152089671621606
2022-12-28,-0.4067914596881906,GARCH-t,0.01,2.768150948295461,3.513194144589036
2022-12-29,-0.9414925486891276,GARCH-t,0.01,2.6594600566016027,3.3759095548260896
2022-12-30,0.0031810968896288,GARCH-t,0.01,2.678015493277037,3.3993464359866037
2023-01-04,-1.4577780520938353,GARCH-t,0.01,2.5513398848222617,3.239345826288154
2023-01-05,0.4033615296562223,GARCH-t,0.01,2.7700449702750265,3.515586433643018
2023-01-06,0.5909848697618759,GARCH-t,0.01,2.6462754713711303,3.359256454033998
2023-01-10,0.773592425440218,GARCH-t,0.01,2.563794915210317,3.2550774456599534
2023-01-11,1.027874625394543,GARCH-t,0.01,2.548413619680094,3.2462666587829085
2023-01-12,0.0144446668340659,GARCH-t,0.01,2.5730941536345395,3.2775574945727444
2023-01-13,-1.2566455232761584,GARCH-t,0.01,2.4737692509468445,3.1516299426981105
2023-01-16,-1.1443663259038128,GARCH-t,0.01,2.6095872855876143,3.323824751249937
2023-01-17,1.2176951332297214,GARCH-t,0.01,2.6857016206030018,3.420325141501423
2023-01-18,2.4654259606584668,GARCH-t,0.01,2.737205688953147,3.4856237832661243
2023-01-19,-1.4508342905426903,GARCH-t,0.01,3.2588815236848236,4.147022475459908
2023-01-20,0.560055471133265,GARCH-t,0.01,3.3142504235367554,4.21722108446604
2023-01-23,1.3188092820059605,GARCH-t,0.01,3.158956133738498,4.020333605040125
2023-01-24,1.4506249512405751,GARCH-t,0.01,3.1618031570380727,4.023943159789679
2023-01-25,0.3503860076612355,GARCH-t,0.01,3.1999543917315205,4.072312616551661
2023-01-26,-0.1178272065743107,GARCH-t,0.01,3.0397052014217345,3.869143142637808
2023-01-27,0.0723734966221563,GARCH-t,0.01,2.8908160791901367,3.680376356504213
2023-01-30,0.1854929019132892,GARCH-t,0.01,2.754838391592441,3.5079791344038083
