asset,label,covered,n,diff,p
SPX,S&P 500,447,447,-0.00185,0.00868
DAX,DAX 40,386,386,-0.00069,0.2144
N225,Nikkei 225,254,254,-0.00183,0.00061
GOLD,Gold futures,391,391,0.00042,0.6671
BTC,Bitcoin,500,500,-0.00032,0.85661
