,HS,GARCH-t,NN-t,Chronos-T5,LLM-series,LLM-series+state,LLM-dated,LLM-dated+news,Open-1.5B
HS,,0.0037,0.0,0.0887,0.0,0.0319,0.0001,0.0,0.193
GARCH-t,0.0037,,0.6857,0.3075,0.2457,0.6021,0.23,0.9497,0.0132
NN-t,0.0,0.6857,,0.3331,0.0005,0.497,0.0036,0.2702,0.0172
Chronos-T5,0.0887,0.3075,0.3331,,0.8909,0.5467,0.881,0.4334,0.0091
LLM-series,0.0,0.2457,0.0005,0.8909,,0.7662,0.9195,0.0013,0.03
LLM-series+state,0.0319,0.6021,0.497,0.5467,0.7662,,0.7648,0.6268,0.0042
LLM-dated,0.0001,0.23,0.0036,0.881,0.9195,0.7648,,0.0088,0.0284
LLM-dated+news,0.0,0.9497,0.2702,0.4334,0.0013,0.6268,0.0088,,0.019
Open-1.5B,0.193,0.0132,0.0172,0.0091,0.03,0.0042,0.0284,0.019,
