fact,value
tbl_assets,5
tbl_rejected_total,18
tbl_models_total,50
tbl_rejected_SPX,2
tbl_rejected_DAX,4
tbl_rejected_N225,3
tbl_rejected_GOLD,4
tbl_rejected_BTC,5
