date,var_01,var_05,var,n_draws,raw_ok,sign_ok,order_ok
2023-01-04,1.6412,1.15,1.6412,995,True,True,True
2023-01-05,1.5645,1.17,1.5645,992,True,True,True
2023-01-06,1.5905,1.1524999999999999,1.5905,996,True,True,True
2023-01-09,1.621,1.06,1.621,991,True,True,True
2023-01-10,1.6926999999999999,1.28,1.6926999999999999,992,True,True,True
2023-01-11,1.65,1.26,1.65,998,True,True,True
2023-01-12,1.6105,1.1225,1.6105,996,True,True,True
2023-01-13,1.61,1.21,1.61,994,True,True,True
2023-01-17,1.5436,1.17,1.5436,989,True,True,True
2023-01-18,1.6105,1.23,1.6105,996,True,True,True
2023-01-19,1.6022,1.16,1.6022,990,True,True,True
2023-01-20,1.5207,1.08,1.5207,994,True,True,True
2023-01-23,1.601,1.13,1.601,996,True,True,True
2023-01-24,1.5209,1.1,1.5209,998,True,True,True
2023-01-25,1.4426999999999999,1.0545,1.4426999999999999,992,True,True,True
2023-01-26,1.4909999999999999,1.09,1.4909999999999999,991,True,True,True
2023-01-27,1.4712,1.16,1.4712,995,True,True,True
2023-01-30,1.5427,1.23,1.5427,992,True,True,True
2023-01-31,1.4503,1.0715000000000001,1.4503,998,True,True,True
2023-02-01,1.5031999999999999,1.0,1.5031999999999999,989,True,True,True
2023-02-02,1.54,1.1,1.54,998,True,True,True
2023-02-03,1.44,0.86,1.44,995,True,True,True
2023-02-06,1.7728,1.5034999999999998,1.7728,994,True,True,True
2023-02-07,1.74,1.1769999999999998,1.74,994,True,True,True
2023-02-08,1.6203,1.136,1.6203,998,True,True,True
2023-02-09,1.5442,1.0,1.5442,994,True,True,True
2023-02-10,1.6005,1.11,1.6005,996,True,True,True
2023-02-13,1.6112,1.14,1.6112,997,True,True,True
2023-02-14,1.61,1.09,1.61,994,True,True,True
2023-02-15,1.4206999999999999,0.85,1.4206999999999999,994,True,True,True
2023-02-16,1.501,1.11,1.501,996,True,True,True
2023-02-17,1.5907,1.09,1.5907,994,True,True,True
2023-02-21,1.6027,1.17,1.6027,992,True,True,True
2023-02-22,1.4303,1.05,1.4303,998,True,True,True
2023-02-23,1.7006,1.1429999999999998,1.7006,995,True,True,True
2023-02-24,1.5024,1.05,1.5024,995,True,True,True
2023-02-27,1.5606,1.11,1.5606,995,True,True,True
2023-02-28,1.5106,1.07,1.5106,998,True,True,True
2023-03-01,1.5524,1.11,1.5524,995,True,True,True
2023-03-02,1.4509999999999998,1.04,1.4509999999999998,991,True,True,True
2023-03-03,1.49,1.026,1.49,995,True,True,True
2023-03-06,1.26,0.7224999999999999,1.26,996,True,True,True
2023-03-07,1.5304,1.01,1.5304,997,True,True,True
2023-03-08,1.5909,1.083,1.5909,998,True,True,True
2023-03-09,1.6904,1.2959999999999998,1.6904,997,True,True,True
2023-03-10,1.5716,1.07,1.5716,993,True,True,True
2023-03-13,1.5107,1.1,1.5107,994,True,True,True
2023-03-14,1.63,1.21,1.63,994,True,True,True
2023-03-15,1.5305,1.185,1.5305,996,True,True,True
2023-03-16,1.5012,1.06,1.5012,995,True,True,True
2023-03-17,1.5412000000000001,1.113,1.5412000000000001,995,True,True,True
2023-03-20,1.6406999999999998,1.2534999999999998,1.6406999999999998,994,True,True,True
2023-03-21,1.7207,1.377,1.7207,994,True,True,True
2023-03-22,1.75,1.39,1.75,994,True,True,True
2023-03-23,1.6629999999999998,1.29,1.6629999999999998,991,True,True,True
2023-03-24,1.576,1.08,1.576,991,True,True,True
2023-03-27,1.7024,1.1629999999999998,1.7024,995,True,True,True
2023-03-28,1.7012,1.316,1.7012,995,True,True,True
2023-03-29,1.8,1.41,1.8,990,True,True,True
2023-03-30,1.7624,1.4529999999999998,1.7624,995,True,True,True
2023-03-31,1.6011000000000002,1.11,1.6011000000000002,990,True,True,True
2023-04-03,1.7316,1.34,1.7316,993,True,True,True
2023-04-04,1.6312,1.22,1.6312,995,True,True,True
2023-04-05,1.61,1.22,1.61,997,True,True,True
2023-04-06,1.7609,1.4,1.7609,992,True,True,True
2023-04-10,1.62,1.254,1.62,993,True,True,True
2023-04-11,1.7006999999999999,1.36,1.7006999999999999,994,True,True,True
2023-04-12,1.7906,1.4629999999999999,1.7906,995,True,True,True
2023-04-13,1.6705999999999999,1.2,1.6705999999999999,998,True,True,True
2023-04-14,1.6033,1.2555,1.6033,990,True,True,True
2023-04-17,1.67,1.2029999999999998,1.67,995,True,True,True
2023-04-18,1.8,1.4934999999999998,1.8,994,True,True,True
