date,var_01,var_05,var,n_draws,raw_ok,sign_ok,order_ok
2023-01-13,1.6606999999999998,1.17,1.6606999999999998,994,True,True,True
2023-01-16,1.4507999999999999,1.1179999999999999,1.4507999999999999,993,True,True,True
2023-01-17,1.56,1.1925,1.56,996,True,True,True
2023-01-18,1.4718,1.06,1.4718,992,True,True,True
2023-01-19,1.44,1.07,1.44,993,True,True,True
2023-01-20,1.7,1.4049999999999998,1.7,996,True,True,True
2023-01-23,1.7,1.24,1.7,994,True,True,True
2023-01-24,1.64,1.3135,1.64,994,True,True,True
2023-01-25,1.6113000000000002,1.3,1.6113000000000002,988,True,True,True
2023-01-26,1.6212000000000002,1.276,1.6212000000000002,995,True,True,True
2023-01-27,1.623,1.2650000000000001,1.623,991,True,True,True
2023-01-30,1.5714000000000001,1.277,1.5714000000000001,994,True,True,True
2023-01-31,1.63,1.212,1.63,997,True,True,True
2023-02-01,1.6604999999999999,1.2225,1.6604999999999999,996,True,True,True
2023-02-02,1.4716,1.07,1.4716,993,True,True,True
2023-02-03,1.7718,1.379,1.7718,992,True,True,True
2023-02-06,1.7905,1.3625,1.7905,996,True,True,True
2023-02-07,1.6511,1.2865,1.6511,990,True,True,True
2023-02-08,1.6303999999999998,1.244,1.6303999999999998,997,True,True,True
2023-02-09,1.64,1.27,1.64,991,True,True,True
2023-02-10,1.54,1.1145,1.54,998,True,True,True
2023-02-13,1.64,1.3,1.64,994,True,True,True
2023-02-14,1.72,1.303,1.72,995,True,True,True
2023-02-15,1.6105,1.1624999999999999,1.6105,996,True,True,True
2023-02-16,1.6004,1.25,1.6004,999,True,True,True
2023-02-17,1.6414,1.15,1.6414,994,True,True,True
2023-02-20,1.62,1.3045,1.62,992,True,True,True
2023-02-21,1.612,1.19,1.612,997,True,True,True
2023-02-22,1.52,1.06,1.52,994,True,True,True
2023-02-23,1.5636,1.14,1.5636,995,True,True,True
2023-02-24,1.46,1.05,1.46,997,True,True,True
2023-02-27,1.5524,1.106,1.5524,995,True,True,True
2023-02-28,1.6924,1.37,1.6924,989,True,True,True
2023-03-01,1.4403,1.073,1.4403,998,True,True,True
2023-03-02,1.7006999999999999,1.18,1.7006999999999999,994,True,True,True
2023-03-03,1.502,1.05,1.502,996,True,True,True
2023-03-06,1.66,1.34,1.66,995,True,True,True
2023-03-07,1.6807999999999998,1.312,1.6807999999999998,997,True,True,True
2023-03-08,1.6706999999999999,1.28,1.6706999999999999,994,True,True,True
2023-03-09,1.6429999999999998,1.25,1.6429999999999998,991,True,True,True
2023-03-10,1.5814000000000001,1.1634999999999998,1.5814000000000001,994,True,True,True
2023-03-13,1.5303,1.0,1.5303,998,True,True,True
2023-03-14,1.7209999999999999,1.2,1.7209999999999999,996,True,True,True
2023-03-15,1.79,1.3645,1.79,998,True,True,True
2023-03-16,1.7504,1.5,1.7504,997,True,True,True
2023-03-17,2.7309,2.1645,2.7309,992,True,True,True
2023-03-20,2.5016,1.77,2.5016,993,True,True,True
2023-03-21,1.7721,1.5635,1.7721,994,True,True,True
2023-03-22,2.5005,1.8525,2.5005,996,True,True,True
2023-03-23,1.79,1.5,1.79,993,True,True,True
2023-03-24,1.79,1.4324999999999999,1.79,996,True,True,True
2023-03-27,2.5932,1.77,2.5932,993,True,True,True
2023-03-28,1.8,1.554,1.8,993,True,True,True
2023-03-29,1.7507,1.42,1.7507,994,True,True,True
2023-03-30,1.7218,1.3034999999999999,1.7218,992,True,True,True
2023-03-31,1.761,1.435,1.761,991,True,True,True
2023-04-03,1.77,1.3525,1.77,996,True,True,True
2023-04-04,1.74,1.4229999999999998,1.74,995,True,True,True
2023-04-05,1.7466,1.41,1.7466,990,True,True,True
2023-04-06,1.7624,1.44,1.7624,995,True,True,True
2023-04-11,1.74,1.3735,1.74,992,True,True,True
2023-04-12,1.7306,1.379,1.7306,995,True,True,True
2023-04-13,1.7404,1.302,1.7404,997,True,True,True
2023-04-14,1.6805999999999999,1.2915,1.6805999999999999,998,True,True,True
2023-04-17,1.7511,1.4,1.7511,990,True,True,True
2023-04-18,1.57,1.09,1.57,993,True,True,True
2023-04-19,1.6506999999999998,1.16,1.6506999999999998,994,True,True,True
2023-04-20,1.65,1.3145,1.65,992,True,True,True
2023-04-21,1.6209,1.1,1.6209,998,True,True,True
2023-04-24,1.63,1.2155,1.63,990,True,True,True
2023-04-25,1.5025,1.045,1.5025,996,True,True,True
2023-04-26,1.65,1.12,1.65,994,True,True,True
2023-04-27,1.7106,1.19,1.7106,995,True,True,True
2023-04-28,1.65,1.254,1.65,997,True,True,True
2023-05-02,1.6504999999999999,1.395,1.6504999999999999,996,True,True,True
2023-05-03,1.66,1.214,1.66,993,True,True,True
2023-05-04,1.6821,1.3934999999999997,1.6821,994,True,True,True
2023-05-05,1.6415,1.2125,1.6415,996,True,True,True
2023-05-08,1.82,1.3934999999999997,1.82,994,True,True,True
2023-05-09,1.6436,1.2819999999999998,1.6436,989,True,True,True
2023-05-10,1.65,1.344,1.65,993,True,True,True
2023-05-11,1.6905,1.2225,1.6905,996,True,True,True
2023-05-12,1.4924,0.758,1.4924,993,True,True,True
2023-05-15,1.56,1.1544999999999999,1.56,992,True,True,True
2023-05-16,1.7,1.26,1.7,995,True,True,True
2023-05-17,1.6414,1.23,1.6414,994,True,True,True
2023-05-18,1.5706,1.121,1.5706,999,True,True,True
2023-05-19,1.6207,1.15,1.6207,994,True,True,True
2023-05-22,1.6821,1.4,1.6821,994,True,True,True
2023-05-23,1.6323999999999999,1.17,1.6323999999999999,995,True,True,True
2023-05-24,1.6305999999999998,1.1629999999999998,1.6305999999999998,995,True,True,True
2023-05-25,1.7703,1.4,1.7703,998,True,True,True
2023-05-26,1.66,1.2,1.66,996,True,True,True
2023-05-29,1.6211,1.2265,1.6211,990,True,True,True
2023-05-30,1.5907,1.22,1.5907,994,True,True,True
2023-05-31,1.6015000000000001,1.23,1.6015000000000001,996,True,True,True
2023-06-01,1.6503999999999999,1.33,1.6503999999999999,997,True,True,True
2023-06-02,1.6409999999999998,1.3250000000000002,1.6409999999999998,991,True,True,True
2023-06-05,1.66,1.26,1.66,992,True,True,True
2023-06-06,1.6324999999999998,1.34,1.6324999999999998,996,True,True,True
2023-06-07,1.6603999999999999,1.31,1.6603999999999999,997,True,True,True
2023-06-08,1.6408999999999998,1.3245,1.6408999999999998,992,True,True,True
2023-06-09,1.56,1.2034999999999998,1.56,994,True,True,True
2023-06-12,1.6303999999999998,1.21,1.6303999999999998,997,True,True,True
2023-06-13,1.64,1.3,1.64,995,True,True,True
2023-06-14,1.472,1.045,1.472,991,True,True,True
2023-06-15,1.64,1.06,1.64,992,True,True,True
2023-06-16,1.39,1.0534999999999999,1.39,994,True,True,True
2023-06-19,1.5914000000000001,1.057,1.5914000000000001,994,True,True,True
2023-06-20,1.5409,1.1145,1.5409,992,True,True,True
2023-06-21,1.62,1.26,1.62,987,True,True,True
2023-06-22,1.64,1.17,1.64,995,True,True,True
2023-06-23,1.5032,1.054,1.5032,993,True,True,True
2023-06-26,1.4306999999999999,1.14,1.4306999999999999,994,True,True,True
2023-06-27,1.37,0.98,1.37,994,True,True,True
2023-06-28,1.3216,0.99,1.3216,993,True,True,True
2023-06-29,1.442,0.86,1.442,991,True,True,True
2023-06-30,0.77,0.635,0.77,991,True,True,True
2023-07-03,1.4006999999999998,1.0,1.4006999999999998,994,True,True,True
2023-07-04,1.472,1.03,1.472,996,True,True,True
2023-07-05,1.6455,1.2155,1.6455,990,True,True,True
2023-07-06,1.5605,1.0525,1.5605,996,True,True,True
2023-07-07,1.6333,1.251,1.6333,990,True,True,True
2023-07-10,1.6106,1.2329999999999999,1.6106,995,True,True,True
2023-07-11,1.5504,1.102,1.5504,997,True,True,True
2023-07-12,1.5516,1.17,1.5516,997,True,True,True
2023-07-13,1.6304999999999998,1.22,1.6304999999999998,996,True,True,True
2023-07-14,1.483,1.1429999999999998,1.483,995,True,True,True
2023-07-17,1.66,1.2955,1.66,990,True,True,True
2023-07-18,1.64,1.23,1.64,995,True,True,True
2023-07-19,1.6244,1.2155,1.6244,990,True,True,True
2023-07-20,1.581,1.0625,1.581,996,True,True,True
2023-07-21,1.53,1.12,1.53,995,True,True,True
2023-07-24,1.503,1.0025,1.503,996,True,True,True
2023-07-25,1.4608999999999999,1.0045,1.4608999999999999,992,True,True,True
2023-07-26,0.76,0.645,0.76,991,True,True,True
2023-07-27,1.514,1.02,1.514,993,True,True,True
2023-07-28,1.5008,0.738,1.5008,993,True,True,True
2023-07-31,0.75,0.65,0.75,995,True,True,True
2023-08-01,1.5721,1.0034999999999998,1.5721,994,True,True,True
2023-08-02,1.68,1.287,1.68,994,True,True,True
2023-08-03,1.6608999999999998,1.35,1.6608999999999998,992,True,True,True
2023-08-04,1.611,1.33,1.611,991,True,True,True
2023-08-07,1.5509,1.089,1.5509,992,True,True,True
2023-08-08,1.6202,1.1119999999999999,1.6202,999,True,True,True
2023-08-09,1.67,1.31,1.67,995,True,True,True
2023-08-10,1.6309999999999998,1.21,1.6309999999999998,991,True,True,True
2023-08-11,1.61,1.13,1.61,994,True,True,True
2023-08-14,1.5303,1.2615,1.5303,998,True,True,True
2023-08-15,1.4914,1.15,1.4914,994,True,True,True
2023-08-16,1.7,1.27,1.7,994,True,True,True
2023-08-17,1.4404,1.19,1.4404,997,True,True,True
2023-08-18,1.5411000000000001,1.2,1.5411000000000001,990,True,True,True
2023-08-21,1.6507999999999998,1.19,1.6507999999999998,993,True,True,True
2023-08-22,1.4609999999999999,1.1,1.4609999999999999,991,True,True,True
2023-08-23,1.61,1.116,1.61,989,True,True,True
2023-08-24,1.432,1.0925,1.432,996,True,True,True
2023-08-25,1.5214,1.1235,1.5214,994,True,True,True
2023-08-28,1.4512,0.993,1.4512,995,True,True,True
2023-08-29,1.5009,1.0145,1.5009,992,True,True,True
2023-08-30,1.4507999999999999,1.06,1.4507999999999999,993,True,True,True
2023-08-31,1.5209,1.15,1.5209,992,True,True,True
2023-09-01,1.3512000000000002,1.033,1.3512000000000002,995,True,True,True
2023-09-04,1.5211000000000001,1.14,1.5211000000000001,990,True,True,True
2023-09-05,1.4504,1.1,1.4504,997,True,True,True
2023-09-06,1.55,1.085,1.55,996,True,True,True
2023-09-07,1.4218,1.07,1.4218,992,True,True,True
2023-09-08,0.87,0.79,0.87,994,True,True,True
2023-09-11,0.8604999999999999,0.75,0.8604999999999999,996,True,True,True
2023-09-12,0.8406,0.723,0.8406,995,True,True,True
2023-09-13,1.2414,0.89,1.2414,994,True,True,True
2023-09-14,1.34,1.0,1.34,997,True,True,True
2023-09-15,1.3004,1.02,1.3004,997,True,True,True
2023-09-18,0.831,0.72,0.831,991,True,True,True
2023-09-19,1.5208,1.16,1.5208,993,True,True,True
2023-09-20,1.44,1.0334999999999999,1.44,994,True,True,True
2023-09-21,1.32,1.03,1.32,999,True,True,True
2023-09-22,1.4742,1.123,1.4742,995,True,True,True
2023-09-25,1.4506,1.1,1.4506,995,True,True,True
2023-09-26,1.43,1.13,1.43,995,True,True,True
2023-09-27,1.3911,1.07,1.3911,990,True,True,True
2023-09-28,1.371,1.15,1.371,996,True,True,True
2023-09-29,1.3923999999999999,1.09,1.3923999999999999,995,True,True,True
2023-10-02,1.4418,1.1329999999999998,1.4418,995,True,True,True
2023-10-03,1.3605,1.13,1.3605,996,True,True,True
2023-10-04,1.4506,1.15,1.4506,995,True,True,True
2023-10-05,1.36,1.104,1.36,993,True,True,True
2023-10-06,1.31,1.024,1.31,993,True,True,True
2023-10-09,1.4307999999999998,1.004,1.4307999999999998,993,True,True,True
2023-10-10,1.4518,1.1245,1.4518,992,True,True,True
2023-10-11,1.5107,1.2634999999999998,1.5107,994,True,True,True
2023-10-12,1.5,1.212,1.5,997,True,True,True
2023-10-13,1.4011,1.1955,1.4011,990,True,True,True
2023-10-16,1.5507,1.3,1.5507,994,True,True,True
2023-10-17,1.5712000000000002,1.2329999999999999,1.5712000000000002,995,True,True,True
2023-10-18,1.5508,1.24,1.5508,993,True,True,True
2023-10-19,1.5406,1.26,1.5406,995,True,True,True
2023-10-20,1.45,1.145,1.45,991,True,True,True
2023-10-23,1.56,1.3,1.56,994,True,True,True
2023-10-24,1.5736,1.236,1.5736,989,True,True,True
2023-10-25,1.5608,1.26,1.5608,993,True,True,True
2023-10-26,1.572,1.27,1.572,991,True,True,True
2023-10-27,1.5106,1.23,1.5106,995,True,True,True
2023-10-30,1.5205,1.21,1.5205,996,True,True,True
2023-10-31,1.5714000000000001,1.2434999999999998,1.5714000000000001,994,True,True,True
2023-11-01,1.552,1.22,1.552,996,True,True,True
2023-11-02,1.4725,1.16,1.4725,996,True,True,True
2023-11-03,1.5225,1.16,1.5225,996,True,True,True
2023-11-06,1.5418,1.2734999999999999,1.5418,992,True,True,True
2023-11-07,1.5605,1.3924999999999998,1.5605,996,True,True,True
2023-11-08,1.5006,1.132,1.5006,995,True,True,True
2023-11-09,1.4715,1.1524999999999999,1.4715,996,True,True,True
2023-11-10,1.4621,1.1035,1.4621,994,True,True,True
2023-11-13,1.4908,1.2,1.4908,993,True,True,True
2023-11-14,1.5511000000000001,1.2155,1.5511000000000001,990,True,True,True
2023-11-15,1.4004999999999999,1.06,1.4004999999999999,996,True,True,True
2023-11-16,1.5411000000000001,1.2555,1.5411000000000001,990,True,True,True
2023-11-17,1.56,1.27,1.56,990,True,True,True
2023-11-20,1.47,1.06,1.47,993,True,True,True
2023-11-21,1.4724,1.108,1.4724,993,True,True,True
2023-11-22,1.4714,1.1534999999999997,1.4714,994,True,True,True
2023-11-23,1.3918,1.049,1.3918,992,True,True,True
2023-11-24,1.4711999999999998,1.122,1.4711999999999998,997,True,True,True
2023-11-27,1.3724,1.03,1.3724,993,True,True,True
2023-11-28,1.5,1.0635,1.5,994,True,True,True
2023-11-29,1.5115,1.03,1.5115,996,True,True,True
2023-11-30,1.3625,0.875,1.3625,996,True,True,True
2023-12-01,1.43,1.01,1.43,996,True,True,True
2023-12-04,1.4307999999999998,0.85,1.4307999999999998,993,True,True,True
2023-12-05,1.5124,1.07,1.5124,997,True,True,True
2023-12-06,1.4509999999999998,1.005,1.4509999999999998,991,True,True,True
2023-12-07,1.5507,1.1634999999999998,1.5507,994,True,True,True
2023-12-08,1.52,1.2115,1.52,998,True,True,True
2023-12-11,1.56,1.1634999999999998,1.56,994,True,True,True
2023-12-12,1.4005999999999998,0.83,1.4005999999999998,998,True,True,True
2023-12-13,1.5021,1.09,1.5021,994,True,True,True
2023-12-14,1.4712,1.106,1.4712,995,True,True,True
2023-12-15,1.4507999999999999,0.99,1.4507999999999999,993,True,True,True
2023-12-18,0.76,0.6,0.76,993,True,True,True
2023-12-19,1.4808,1.004,1.4808,997,True,True,True
2023-12-20,1.4405999999999999,1.01,1.4405999999999999,995,True,True,True
2023-12-21,1.4904,1.0659999999999998,1.4904,997,True,True,True
2023-12-22,1.4105999999999999,1.056,1.4105999999999999,995,True,True,True
2023-12-27,0.75,0.62,0.75,997,True,True,True
2023-12-28,0.65,0.54,0.65,999,True,True,True
2023-12-29,0.65,0.55,0.65,992,True,True,True
2024-01-02,0.65,0.49,0.65,993,True,True,True
2024-01-03,0.6405,0.53,0.6405,996,True,True,True
2024-01-04,1.3009,1.0,1.3009,998,True,True,True
2024-01-05,1.36,0.75,1.36,994,True,True,True
2024-01-08,0.65,0.52,0.65,997,True,True,True
2024-01-09,0.64,0.49,0.64,996,True,True,True
2024-01-10,0.63,0.4729999999999999,0.63,998,True,True,True
2024-01-11,0.65,0.5345,0.65,992,True,True,True
2024-01-12,0.72,0.61,0.72,995,True,True,True
2024-01-15,0.7312,0.6,0.7312,989,True,True,True
2024-01-16,0.66,0.52,0.66,993,True,True,True
2024-01-17,0.74,0.56,0.74,996,True,True,True
2024-01-18,0.75,0.61,0.75,992,True,True,True
2024-01-19,0.76,0.63,0.76,992,True,True,True
2024-01-22,0.7606,0.643,0.7606,995,True,True,True
2024-01-23,0.72,0.533,0.72,995,True,True,True
2024-01-24,0.76,0.63,0.76,995,True,True,True
2024-01-25,0.75,0.6,0.75,996,True,True,True
2024-01-26,0.76,0.602,0.76,997,True,True,True
2024-01-29,0.711,0.595,0.711,991,True,True,True
2024-01-30,0.65,0.535,0.65,991,True,True,True
2024-01-31,0.76,0.64,0.76,993,True,True,True
2024-02-01,0.6507000000000001,0.5235,0.6507000000000001,994,True,True,True
2024-02-02,0.7509,0.6,0.7509,992,True,True,True
2024-02-05,0.72,0.56,0.72,993,True,True,True
2024-02-06,0.75,0.6355,0.75,990,True,True,True
2024-02-07,0.7308,0.594,0.7308,993,True,True,True
2024-02-08,0.64,0.54,0.64,997,True,True,True
2024-02-09,0.76,0.64,0.76,996,True,True,True
2024-02-12,0.65,0.47,0.65,996,True,True,True
2024-02-13,0.6413,0.53,0.6413,988,True,True,True
2024-02-14,0.7206,0.54,0.7206,995,True,True,True
2024-02-15,0.76,0.654,0.76,993,True,True,True
2024-02-16,0.77,0.67,0.77,992,True,True,True
2024-02-19,0.76,0.64,0.76,995,True,True,True
2024-02-20,0.75,0.62,0.75,993,True,True,True
2024-02-21,0.75,0.622,0.75,997,True,True,True
2024-02-22,0.6405,0.53,0.6405,996,True,True,True
2024-02-23,0.65,0.52,0.65,994,True,True,True
2024-02-26,0.64,0.513,0.64,995,True,True,True
2024-02-27,0.7307,0.5635,0.7307,994,True,True,True
2024-02-28,0.77,0.66,0.77,995,True,True,True
2024-02-29,0.7412,0.5819999999999999,0.7412,989,True,True,True
2024-03-01,0.7409,0.6,0.7409,992,True,True,True
2024-03-04,0.7602,0.64,0.7602,999,True,True,True
2024-03-05,0.76,0.6445,0.76,992,True,True,True
2024-03-06,0.75,0.5759999999999998,0.75,995,True,True,True
2024-03-07,0.75,0.61,0.75,993,True,True,True
2024-03-08,0.7504,0.622,0.7504,997,True,True,True
2024-03-11,0.75,0.64,0.75,992,True,True,True
2024-03-12,0.75,0.56,0.75,999,True,True,True
2024-03-13,0.6204999999999999,0.51,0.6204999999999999,996,True,True,True
2024-03-14,0.7308,0.54,0.7308,993,True,True,True
2024-03-15,0.76,0.6,0.76,995,True,True,True
2024-03-18,0.71,0.504,0.71,993,True,True,True
2024-03-19,0.5206000000000001,0.37599999999999995,0.5206000000000001,995,True,True,True
2024-03-20,0.72,0.5345,0.72,992,True,True,True
2024-03-21,0.6302,0.49099999999999994,0.6302,999,True,True,True
2024-03-22,0.6608,0.54,0.6608,993,True,True,True
2024-03-25,0.65,0.503,0.65,995,True,True,True
2024-03-26,0.65,0.52,0.65,996,True,True,True
2024-03-27,0.6408,0.54,0.6408,993,True,True,True
2024-03-28,0.6504,0.55,0.6504,997,True,True,True
2024-04-02,0.54,0.394,0.54,993,True,True,True
2024-04-03,0.77,0.62,0.77,1000,True,True,True
2024-04-04,0.76,0.62,0.76,995,True,True,True
2024-04-05,0.74,0.5445,0.74,992,True,True,True
2024-04-08,0.6505,0.5325,0.6505,996,True,True,True
2024-04-09,0.75,0.6244999999999999,0.75,992,True,True,True
2024-04-10,0.7607,0.5535,0.7607,994,True,True,True
2024-04-11,1.4514,1.047,1.4514,994,True,True,True
2024-04-12,1.2714,0.84,1.2714,994,True,True,True
2024-04-15,0.75,0.6,0.75,998,True,True,True
2024-04-16,0.77,0.63,0.77,995,True,True,True
2024-04-17,1.42,0.78,1.42,994,True,True,True
2024-04-18,1.44,1.063,1.44,995,True,True,True
2024-04-19,1.43,1.16,1.43,997,True,True,True
2024-04-22,0.7504,0.65,0.7504,997,True,True,True
2024-04-23,1.4309999999999998,1.1,1.4309999999999998,991,True,True,True
2024-04-24,1.4102999999999999,1.1015000000000001,1.4102999999999999,998,True,True,True
2024-04-25,1.45,1.062,1.45,997,True,True,True
2024-04-26,1.44,1.0819999999999999,1.44,995,True,True,True
2024-04-29,1.4211,1.1155000000000002,1.4211,990,True,True,True
2024-04-30,1.3118,1.093,1.3118,995,True,True,True
2024-05-02,1.4506999999999999,1.1235,1.4506999999999999,994,True,True,True
2024-05-03,1.4105999999999999,1.1,1.4105999999999999,995,True,True,True
2024-05-06,1.52,1.1759999999999997,1.52,997,True,True,True
2024-05-07,1.5722,1.23,1.5722,990,True,True,True
2024-05-08,1.4405999999999999,1.06,1.4405999999999999,995,True,True,True
2024-05-09,1.4029999999999998,1.14,1.4029999999999998,991,True,True,True
2024-05-10,1.4529999999999998,1.1,1.4529999999999998,996,True,True,True
2024-05-13,1.4512,1.1019999999999999,1.4512,989,True,True,True
2024-05-14,1.4216,1.164,1.4216,993,True,True,True
2024-05-15,0.6001,0.42,0.6001,1000,True,True,True
2024-05-16,1.2625,0.69,1.2625,996,True,True,True
2024-05-17,1.45,1.11,1.45,995,True,True,True
2024-05-20,1.4102,1.07,1.4102,999,True,True,True
2024-05-21,1.3624,1.093,1.3624,995,True,True,True
2024-05-22,1.3632000000000002,0.77,1.3632000000000002,993,True,True,True
2024-05-23,0.7512,0.59,0.7512,989,True,True,True
2024-05-24,1.4,1.01,1.4,999,True,True,True
2024-05-27,0.75,0.56,0.75,994,True,True,True
2024-05-28,1.3512000000000002,1.02,1.3512000000000002,995,True,True,True
2024-05-29,1.3403,1.02,1.3403,998,True,True,True
2024-05-30,1.39,1.07,1.39,995,True,True,True
2024-05-31,1.3902999999999999,1.1315,1.3902999999999999,998,True,True,True
2024-06-03,1.43,1.122,1.43,997,True,True,True
2024-06-04,1.4003999999999999,1.032,1.4003999999999999,997,True,True,True
2024-06-05,1.3915,1.1,1.3915,986,True,True,True
2024-06-06,1.422,1.1549999999999998,1.422,991,True,True,True
2024-06-07,1.3714000000000002,1.13,1.3714000000000002,994,True,True,True
2024-06-10,1.42,1.1,1.42,991,True,True,True
2024-06-11,1.3409,1.03,1.3409,998,True,True,True
2024-06-12,1.4106999999999998,0.79,1.4106999999999998,994,True,True,True
2024-06-13,1.36,1.1,1.36,996,True,True,True
2024-06-14,1.7007999999999999,1.29,1.7007999999999999,993,True,True,True
2024-06-17,1.7204,1.44,1.7204,997,True,True,True
2024-06-18,1.7003,1.3615000000000002,1.7003,998,True,True,True
2024-06-19,1.4724,1.178,1.4724,993,True,True,True
2024-06-20,1.4913,1.2265,1.4913,988,True,True,True
2024-06-21,1.65,1.4024999999999999,1.65,996,True,True,True
2024-06-24,1.59,1.3034999999999999,1.59,994,True,True,True
2024-06-25,1.67,1.29,1.67,995,True,True,True
2024-06-26,1.5,1.16,1.5,994,True,True,True
2024-06-27,1.5109,1.2045,1.5109,992,True,True,True
2024-06-28,1.426,1.1429999999999998,1.426,995,True,True,True
2024-07-01,1.35,1.1315,1.35,998,True,True,True
2024-07-02,1.4606999999999999,1.0935,1.4606999999999999,994,True,True,True
2024-07-03,1.52,1.19,1.52,995,True,True,True
2024-07-04,1.66,1.35,1.66,990,True,True,True
2024-07-05,1.5714000000000001,1.19,1.5714000000000001,994,True,True,True
2024-07-08,1.4007999999999998,1.09,1.4007999999999998,993,True,True,True
2024-07-09,1.3316000000000001,1.06,1.3316000000000001,997,True,True,True
2024-07-10,1.6007,1.2469999999999999,1.6007,994,True,True,True
2024-07-11,1.5414,1.1769999999999998,1.5414,994,True,True,True
2024-07-12,1.5124,1.1,1.5124,989,True,True,True
2024-07-15,1.52,1.1934999999999998,1.52,994,True,True,True
2024-07-16,1.5407,1.1769999999999998,1.5407,994,True,True,True
2024-07-17,1.5403,1.09,1.5403,998,True,True,True
2024-07-18,1.46,1.07,1.46,993,True,True,True
2024-07-19,1.4011,1.02,1.4011,990,True,True,True
2024-07-22,1.67,1.2445,1.67,992,True,True,True
2024-07-23,1.7212,1.346,1.7212,989,True,True,True
2024-07-24,1.4724,1.16,1.4724,989,True,True,True
2024-07-25,1.5004,1.152,1.5004,997,True,True,True
2024-07-26,1.5607,1.24,1.5607,994,True,True,True
2024-07-29,1.55,1.19,1.55,992,True,True,True
2024-07-30,1.5,1.12,1.5,993,True,True,True
2024-07-31,1.5004,1.2,1.5004,997,True,True,True
2024-08-01,1.37,1.17,1.37,992,True,True,True
2024-08-02,1.7805,1.49,1.7805,996,True,True,True
2024-08-05,2.72,2.344,2.72,993,True,True,True
2024-08-06,1.8403,1.64,1.8403,998,True,True,True
2024-08-07,1.6506999999999998,1.1634999999999998,1.6506999999999998,994,True,True,True
2024-08-08,1.7508,1.49,1.7508,993,True,True,True
2024-08-09,1.6508999999999998,1.27,1.6508999999999998,992,True,True,True
2024-08-12,1.6416,1.27,1.6416,993,True,True,True
2024-08-13,1.63,1.3235,1.63,994,True,True,True
2024-08-14,1.538,1.21,1.538,991,True,True,True
2024-08-15,1.6107,1.1769999999999998,1.6107,994,True,True,True
2024-08-16,1.773,1.495,1.773,991,True,True,True
2024-08-19,1.6302999999999999,1.3,1.6302999999999999,998,True,True,True
2024-08-20,1.6908999999999998,1.319,1.6908999999999998,992,True,True,True
2024-08-21,1.6008,1.264,1.6008,993,True,True,True
2024-08-22,1.5216,1.148,1.5216,993,True,True,True
2024-08-23,1.6207,1.16,1.6207,994,True,True,True
2024-08-26,1.6404999999999998,1.23,1.6404999999999998,996,True,True,True
2024-08-27,1.6407999999999998,1.24,1.6407999999999998,993,True,True,True
2024-08-28,1.6315,1.16,1.6315,996,True,True,True
2024-08-29,1.6311,0.9504999999999997,1.6311,990,True,True,True
2024-08-30,1.5718,1.1544999999999999,1.5718,992,True,True,True
2024-09-02,1.5524,1.106,1.5524,989,True,True,True
2024-09-03,1.54,0.85,1.54,992,True,True,True
2024-09-04,1.6514,1.35,1.6514,994,True,True,True
2024-09-05,1.67,1.26,1.67,993,True,True,True
2024-09-06,1.4914,1.2234999999999998,1.4914,994,True,True,True
2024-09-09,1.652,1.42,1.652,991,True,True,True
2024-09-10,1.6602999999999999,1.2,1.6602999999999999,998,True,True,True
2024-09-11,1.66,1.34,1.66,991,True,True,True
2024-09-12,1.6305999999999998,1.17,1.6305999999999998,995,True,True,True
2024-09-13,1.59,1.13,1.59,994,True,True,True
2024-09-16,1.5018,1.12,1.5018,995,True,True,True
2024-09-17,1.6,1.2925,1.6,996,True,True,True
2024-09-18,1.5204,1.12,1.5204,997,True,True,True
2024-09-19,1.63,1.19,1.63,993,True,True,True
2024-09-20,1.564,1.02,1.564,991,True,True,True
2024-09-23,1.7206,1.4929999999999999,1.7206,995,True,True,True
2024-09-24,1.69,1.27,1.69,995,True,True,True
2024-09-25,1.55,1.14,1.55,999,True,True,True
