date,var_01,var_05,var,n_draws,raw_ok,sign_ok,order_ok
2023-08-19,2.6824000000000003,2.003,2.6824000000000003,995,True,True,True
2023-08-20,1.6607999999999998,1.11,1.6607999999999998,993,True,True,True
2023-08-21,1.5905,1.1225,1.5905,996,True,True,True
2023-08-22,1.64,1.0635,1.64,994,True,True,True
2023-08-23,1.68,1.11,1.68,993,True,True,True
2023-08-24,2.503,2.0324999999999998,2.503,996,True,True,True
2023-08-25,1.7315,1.3525,1.7315,996,True,True,True
2023-08-26,1.7207,1.4034999999999997,1.7207,994,True,True,True
2023-08-27,1.5833000000000002,1.03,1.5833000000000002,990,True,True,True
2023-08-28,1.6907999999999999,1.308,1.6907999999999999,993,True,True,True
2023-08-29,0.66,0.56,0.66,990,True,True,True
2023-08-30,4.48,3.476,4.48,995,True,True,True
2023-08-31,2.6608,2.002,2.6608,997,True,True,True
2023-09-01,3.504,2.66,3.504,996,True,True,True
2023-09-02,1.6732,1.07,1.6732,993,True,True,True
2023-09-03,0.661,0.55,0.661,991,True,True,True
2023-09-04,0.77,0.71,0.77,994,True,True,True
2023-09-05,1.76,1.4,1.76,990,True,True,True
2023-09-06,0.64,0.503,0.64,995,True,True,True
2023-09-07,1.61,0.625,1.61,991,True,True,True
2023-09-08,2.6704,2.1,2.6704,997,True,True,True
2023-09-09,1.79,1.31,1.79,994,True,True,True
2023-09-10,0.56,0.47,0.56,993,True,True,True
2023-09-11,0.56,0.46,0.56,997,True,True,True
2023-09-12,2.6306,1.75,2.6306,998,True,True,True
2023-09-13,2.5115999999999996,1.69,2.5115999999999996,993,True,True,True
2023-09-14,2.564,1.724,2.564,993,True,True,True
2023-09-15,1.79,1.432,1.79,997,True,True,True
2023-09-16,1.6706999999999999,1.0835,1.6706999999999999,994,True,True,True
2023-09-17,1.6308999999999998,1.2034999999999998,1.6308999999999998,992,True,True,True
2023-09-18,1.5266,0.57,1.5266,995,True,True,True
2023-09-19,1.7407,1.36,1.7407,994,True,True,True
2023-09-20,1.86,1.56,1.86,989,True,True,True
2023-09-21,1.7103,1.18,1.7103,998,True,True,True
2023-09-22,2.74,2.26,2.74,993,True,True,True
2023-09-23,1.6225,0.63,1.6225,996,True,True,True
2023-09-24,1.66,1.113,1.66,995,True,True,True
2023-09-25,1.8208,1.51,1.8208,997,True,True,True
2023-09-26,1.71,1.21,1.71,994,True,True,True
2023-09-27,1.77,1.3255000000000001,1.77,990,True,True,True
2023-09-28,1.8,1.47,1.8,992,True,True,True
2023-09-29,1.78,1.54,1.78,995,True,True,True
2023-09-30,1.78,1.5125,1.78,996,True,True,True
2023-10-01,1.5806,1.0819999999999999,1.5806,999,True,True,True
2023-10-02,2.7006,2.2,2.7006,995,True,True,True
2023-10-03,2.78,2.394,2.78,993,True,True,True
2023-10-04,1.7322,1.3,1.7322,990,True,True,True
2023-10-05,1.7506,1.363,1.7506,995,True,True,True
2023-10-06,1.7508,1.404,1.7508,993,True,True,True
2023-10-07,1.7909,1.51,1.7909,992,True,True,True
2023-10-08,1.7906,1.37,1.7906,995,True,True,True
2023-10-09,1.79,1.57,1.79,994,True,True,True
2023-10-10,1.8,1.52,1.8,991,True,True,True
2023-10-11,1.7507,1.42,1.7507,994,True,True,True
2023-10-12,1.75,1.3835,1.75,992,True,True,True
2023-10-13,1.7711000000000001,1.4455,1.7711000000000001,990,True,True,True
2023-10-14,1.8,1.363,1.8,995,True,True,True
2023-10-15,1.7306,1.4329999999999998,1.7306,995,True,True,True
2023-10-16,1.8212000000000002,1.506,1.8212000000000002,989,True,True,True
2023-10-17,2.6206,2.03,2.6206,995,True,True,True
2023-10-18,2.6727,2.11,2.6727,992,True,True,True
2023-10-19,1.8114000000000001,1.4934999999999998,1.8114000000000001,994,True,True,True
2023-10-20,1.79,1.4324999999999999,1.79,996,True,True,True
2023-10-21,1.7604,1.3739999999999999,1.7604,997,True,True,True
2023-10-22,1.751,1.44,1.751,991,True,True,True
2023-10-23,1.7532,1.364,1.7532,993,True,True,True
2023-10-24,2.7407000000000004,2.36,2.7407000000000004,994,True,True,True
2023-10-25,2.57,1.87,2.57,994,True,True,True
2023-10-26,1.8004,1.362,1.8004,997,True,True,True
2023-10-27,2.5422000000000002,2.0865,2.5422000000000002,990,True,True,True
2023-10-28,2.5528,2.0435,2.5528,994,True,True,True
2023-10-29,2.4432,1.82,2.4432,997,True,True,True
2023-10-30,1.8,1.5,1.8,995,True,True,True
2023-10-31,1.81,1.54,1.81,995,True,True,True
2023-11-01,1.8,1.47,1.8,994,True,True,True
2023-11-02,1.82,1.5134999999999998,1.82,994,True,True,True
2023-11-03,1.81,1.58,1.81,994,True,True,True
2023-11-04,1.7904,1.51,1.7904,997,True,True,True
2023-11-05,1.774,1.43,1.774,993,True,True,True
2023-11-06,1.73,1.3355000000000001,1.73,990,True,True,True
2023-11-07,1.72,1.364,1.72,993,True,True,True
2023-11-08,1.79,1.29,1.79,996,True,True,True
2023-11-09,1.7507,1.3339999999999999,1.7507,994,True,True,True
2023-11-10,1.792,1.4449999999999998,1.792,991,True,True,True
2023-11-11,1.76,1.43,1.76,996,True,True,True
2023-11-12,1.7721,1.49,1.7721,994,True,True,True
2023-11-13,1.77,1.24,1.77,1000,True,True,True
2023-11-14,1.8012000000000001,1.363,1.8012000000000001,995,True,True,True
2023-11-15,1.76,1.53,1.76,991,True,True,True
2023-11-16,2.5147999999999997,1.804,2.5147999999999997,993,True,True,True
2023-11-17,2.7009000000000003,2.239,2.7009000000000003,992,True,True,True
2023-11-18,2.65,1.84,2.65,998,True,True,True
2023-11-19,2.6512,1.8,2.6512,995,True,True,True
2023-11-20,2.655,2.12,2.655,991,True,True,True
2023-11-21,2.6308,1.746,2.6308,993,True,True,True
2023-11-22,3.5355999999999996,2.67,3.5355999999999996,993,True,True,True
2023-11-23,3.5,2.652,3.5,997,True,True,True
2023-11-24,2.6448,2.0,2.6448,993,True,True,True
2023-11-25,2.62,1.815,2.62,991,True,True,True
2023-11-26,2.681,2.1799999999999997,2.681,996,True,True,True
2023-11-27,2.78,2.2125,2.78,996,True,True,True
2023-11-28,2.56,2.082,2.56,993,True,True,True
2023-11-29,1.8106,1.51,1.8106,995,True,True,True
2023-11-30,2.5904,2.0,2.5904,997,True,True,True
2023-12-01,2.6,1.9284999999999992,2.6,994,True,True,True
