date,asof_utc,published_utc,headline
2022-12-22,2022-12-21 06:00:00+00:00,2022-12-20 09:00:53+00:00,Wall Street lower and FTSE 100 flat as Bank of Japan's move sparks fear
2022-12-22,2022-12-21 06:00:00+00:00,2022-12-20 09:00:53+00:00,FTSE 100 lower as Bank of Japan's surprise move sparks fear
2022-12-22,2022-12-21 06:00:00+00:00,2022-12-20 09:00:53+00:00,Wall Street mixed while FTSE bounces back to close higher amid market jitters
2022-12-22,2022-12-21 06:00:00+00:00,2022-12-20 09:00:53+00:00,FTSE 100 muted as Bank of Japan's surprise move sparks fear
2022-12-22,2022-12-21 06:00:00+00:00,2022-12-21 01:07:18+00:00,Nikkei slips further as Asian stocks reel from BOJ policy shift
2022-12-23,2022-12-22 06:00:00+00:00,2022-12-21 09:02:53+00:00,FTSE rises as UK government borrowing hits £22bn record in November
2022-12-26,2022-12-23 06:00:00+00:00,2022-12-22 09:04:56+00:00,FTSE slips as UK economy suffers worst growth in G7
2022-12-26,2022-12-23 06:00:00+00:00,2022-12-22 09:04:56+00:00,FTSE outperforms despite UK economy shrinking more than expected
2022-12-27,2022-12-26 06:00:00+00:00,2022-12-23 09:12:07+00:00,"FTSE struggles for direction as rail, post and border force staff strike"
2022-12-29,2022-12-28 06:00:00+00:00,2022-12-27 06:40:00+00:00,Stocks gain in Asia after China eases COVID rules for incoming travelers
2022-12-30,2022-12-29 06:00:00+00:00,2022-12-28 09:01:26+00:00,Wall Street in the red as FTSE closes higher amid China reopening
2022-12-30,2022-12-29 06:00:00+00:00,2022-12-28 09:01:26+00:00,Wall Street and FTSE 100 higher as markets digest China reopening
2022-12-30,2022-12-29 06:00:00+00:00,2022-12-28 09:01:26+00:00,FTSE 100 and European stocks rise as China reopens
2023-01-04,2022-12-30 06:00:00+00:00,2022-12-29 09:05:49+00:00,FTSE lower as European natural gas prices fall to pre-Ukraine war levels
2023-01-05,2023-01-04 06:00:00+00:00,2023-01-03 09:12:16+00:00,FTSE 100 makes bright start to 2023
2023-01-05,2023-01-04 06:00:00+00:00,2023-01-03 09:12:16+00:00,FTSE 100 hits six month high in first trading session of the year
2023-01-05,2023-01-04 06:00:00+00:00,2023-01-03 09:12:16+00:00,Wall Street opens higher as FTSE remains strong in first trading session of the year
2023-01-05,2023-01-04 06:00:00+00:00,2023-01-03 09:12:16+00:00,Wall Street loses steam as FTSE closes higher in first trading session of 2023
2023-01-05,2023-01-04 06:00:00+00:00,2023-01-03 09:12:16+00:00,Wall Street opens higher as FTSE remains strong in first trading session of 2023
2023-01-06,2023-01-05 06:00:00+00:00,2023-01-04 08:51:25+00:00,FTSE 100 and European stocks continue new year rally
2023-01-06,2023-01-05 06:00:00+00:00,2023-01-05 04:35:00+00:00,"Asian markets gain, but China worries cast pall over optimism from Fed minutes"
2023-01-10,2023-01-06 06:00:00+00:00,2023-01-05 08:51:33+00:00,FTSE 100 lower as global rally runs out of steam
2023-01-11,2023-01-10 06:00:00+00:00,2023-01-09 08:55:56+00:00,FTSE 100 pushes higher again as China reopens
2023-01-12,2023-01-11 06:00:00+00:00,2023-01-10 07:06:35+00:00,Japan's Nikkei closes at 2-week high on tech boost
2023-01-12,2023-01-11 06:00:00+00:00,2023-01-10 08:44:04+00:00,Wall Street creeps into positive territory while FTSE lower as Powell warns of 'unpopular' measures
2023-01-12,2023-01-11 06:00:00+00:00,2023-01-10 08:44:04+00:00,FTSE 100 and Europeanstocks lower ahead of Powell speech
2023-01-12,2023-01-11 06:00:00+00:00,2023-01-11 04:01:00+00:00,"Asia markets mostly rise, as weak yen boosts Japan’s Nikkei"
2023-01-12,2023-01-11 06:00:00+00:00,2023-01-11 04:30:00+00:00,"Asian markets mostly rise, as weak yen boosts Japan’s Nikkei"
2023-01-13,2023-01-12 06:00:00+00:00,2023-01-11 08:46:59+00:00,FTSE 100 higher with JD Sports and miners leading gains
2023-01-16,2023-01-13 06:00:00+00:00,2023-01-12 09:07:23+00:00,Wall Street mixed as inflation falls and FTSE 100 hits new four and a half year high
2023-01-16,2023-01-13 06:00:00+00:00,2023-01-12 09:07:23+00:00,Wall Street higher and FTSE 100 climbs as US inflation cools
2023-01-16,2023-01-13 06:00:00+00:00,2023-01-12 09:07:23+00:00,FTSE 100 and European stocks rally ahead of key US inflation figures
2023-01-16,2023-01-13 06:00:00+00:00,2023-01-12 09:07:23+00:00,FTSE 100 and European stocks higher ahead of key US inflation figures
2023-01-17,2023-01-16 06:00:00+00:00,2023-01-13 09:16:51+00:00,Wall Street mixed as FTSE 100 touches four-year high
2023-01-17,2023-01-16 06:00:00+00:00,2023-01-13 09:16:51+00:00,Wall Street opens lower after FTSE 100 touched four-year high
